coat, el abrigo
to run out of, acabar
ring, el anillo
earrings, los aretes
cheap, barato, barata
blouse, la blusa
handbag, el bolso
boots, las botas
bracelet, el brazalete
to drop, caer
socks, los calcetines
shirt, la camisa
t-shirt, la camiseta
expensive, caro, cora
wallet, la cartera
mall, el centro comercial
jacket, la chaqueta
small, chico, chica
belt, el cinturón
light, claro, clara
necklace, el collar
comfortable, cómodo, cómoda
to manage to, conseguir
tie, la corbata
How much does it cost?, ¿Cuánto cuesta?, ¿Cuánto cuestan?
How much is it worth?, ¿Cuánto vale?, ¿Cuánto valen?
of cotton, de algodón
of clay, de arcilla
of plaid, de cuandros
of leather, de cuero, de piel
of diamond, de diamantes
of wool, de lana
of polka-dots, de lunares
of wood, de madera
of short sleeves, de manga corta
of long sleeves, de manga larga
of name brand, de marca
of gold, de oro
of pearls, de perlas
of silver, de plata
of stripes, de rayas
of silk, de seda
of fashionable, de última modo
too much, demasiado
to break down, descomponer
discount, el descuento
skirt, la falda
flower shop, la floristería
cap, la gorra
large, grande
gloves, los guantes
there was/were, hubo
to go shopping, ir de compras
jewelry store, la joyería
toy store, la juguetería
medium, mediano, mediana
to die, morir(se)
to forget, olvidar
dark, oscuro, oscura
pants, los pantalones
shorts, los pantalones cortos
high price, el precio alto
low price, el precio bajo
fixed price, el precio fijo
piece/article of clothing, la prenda de ropa
stall, el puesto
price reduction, la rebaja
to reduce, rebajar
to haggle, regatear
to break, romper
hat, el sombrero
woven goods, los tejidos
suit, el traje
bathing suit, el traje de baño
sale, la venta
dress, el vestido
shoe store, la zapatería
shoes, los zapatos
high-heeled shoes, los zapatos de tacón alto
tennis shoes, los zapatos de tenis